image,set
ISIC_0057263,train
ISIC_0010005,train
ISIC_0014632_downsampled,train
ISIC_0027191,train
ISIC_0013670_downsampled,train
ISIC_0055792,train
ISIC_0033590,train
ISIC_0067430,train
ISIC_0067470,train
ISIC_0066505,train
ISIC_0025615,train
ISIC_0067628,train
ISIC_0072176,train
ISIC_0029607,train
ISIC_0033623,train
ISIC_0031070,train
ISIC_0016056_downsampled,train
ISIC_0009992,train
ISIC_0063208,train
ISIC_0059402,train
ISIC_0062430,train
ISIC_0061343,train
ISIC_0063091,train
ISIC_0070678,train
ISIC_0057938,train
ISIC_0028532,train
ISIC_0055478,train
ISIC_0060166,train
ISIC_0024989,train
ISIC_0014687_downsampled,train
ISIC_0060518,train
ISIC_0060397,train
ISIC_0000347,train
ISIC_0068598,train
ISIC_0028973,train
ISIC_0054744,train
ISIC_0061651,train
ISIC_0063294,train
ISIC_0069194,train
ISIC_0024725,train
ISIC_0062031,train
ISIC_0014469_downsampled,train
ISIC_0000047_downsampled,train
ISIC_0067423,train
ISIC_0033553,train
ISIC_0071630,train
ISIC_0029459,train
ISIC_0055828,train
ISIC_0060085,train
ISIC_0062710,train
ISIC_0031002,train
ISIC_0064767,train
ISIC_0000211,train
ISIC_0027580,train
ISIC_0026041,train
ISIC_0025154,train
ISIC_0027664,train
ISIC_0070254,train
ISIC_0065344,train
ISIC_0071835,train
ISIC_0025881,train
ISIC_0033653,train
ISIC_0060461,train
ISIC_0028965,train
ISIC_0054893,train
ISIC_0000436_downsampled,train
ISIC_0056144,train
ISIC_0073125,train
ISIC_0024705,train
ISIC_0060319,train
ISIC_0063998,train
ISIC_0032407,train
ISIC_0059827,train
ISIC_0066467,train
ISIC_0033196,train
ISIC_0072175,train
ISIC_0061509,train
ISIC_0014248_downsampled,train
ISIC_0014372_downsampled,train
ISIC_0067341,train
ISIC_0069175,train
ISIC_0064038,train
ISIC_0009877,train
ISIC_0027846,train
ISIC_0029207,train
ISIC_0031696,train
ISIC_0027676,train
ISIC_0062204,train
ISIC_0068101,train
ISIC_0032571,train
ISIC_0057198,train
ISIC_0058420,train
ISIC_0028687,train
ISIC_0061661,train
ISIC_0063880,train
ISIC_0034057,train
ISIC_0064556,train
ISIC_0064384,train
ISIC_0059199,train
ISIC_0032173,train
ISIC_0025653,train
ISIC_0069990,train
ISIC_0030248,train
ISIC_0028147,train
ISIC_0056834,train
ISIC_0069105,train
ISIC_0031280,train
ISIC_0060685,train
ISIC_0000361,train
ISIC_0014633_downsampled,train
ISIC_0010367,train
ISIC_0055256,train
ISIC_0032081,train
ISIC_0070440,train
ISIC_0033638,train
ISIC_0067039,train
ISIC_0012884_downsampled,train
ISIC_0029611,train
ISIC_0025518,train
ISIC_0026324,train
ISIC_0034071,train
ISIC_0029703,train
ISIC_0066647,train
ISIC_0029486,train
ISIC_0061481,train
ISIC_0024569,train
ISIC_0031206,train
ISIC_0025482,train
ISIC_0026648,train
ISIC_0013032_downsampled,train
ISIC_0000321,train
ISIC_0062660,train
ISIC_0027064,train
ISIC_0031393,train
ISIC_0031605,train
ISIC_0059532,train
ISIC_0064193,train
ISIC_0033344,train
ISIC_0029629,train
ISIC_0032417,train
ISIC_0027770,train
ISIC_0059996,train
ISIC_0027079,train
ISIC_0058011,train
ISIC_0025289,train
ISIC_0067436,train
ISIC_0016040_downsampled,train
ISIC_0065955,train
ISIC_0029194,train
ISIC_0071618,train
ISIC_0058932,train
ISIC_0030329,train
ISIC_0014602_downsampled,train
ISIC_0025963,train
ISIC_0024770,train
ISIC_0054365,train
ISIC_0024436,train
ISIC_0014233_downsampled,train
ISIC_0034155,train
ISIC_0053738,train
ISIC_0068595,train
ISIC_0032102,train
ISIC_0034224,train
ISIC_0012291_downsampled,train
ISIC_0055907,train
ISIC_0015283_downsampled,train
ISIC_0067993,train
ISIC_0061908,train
ISIC_0062497,train
ISIC_0068071,train
ISIC_0014255_downsampled,train
ISIC_0031136,train
ISIC_0070849,train
ISIC_0013982_downsampled,train
ISIC_0054069,train
ISIC_0024358,train
ISIC_0025898,train
ISIC_0015018_downsampled,train
ISIC_0057987,train
ISIC_0031403,train
ISIC_0028368,train
ISIC_0026000,train
ISIC_0066787,train
ISIC_0071422,train
ISIC_0062111,train
ISIC_0071987,train
ISIC_0013643_downsampled,train
ISIC_0031851,train
ISIC_0031648,train
ISIC_0031574,train
ISIC_0072270,train
ISIC_0059580,train
ISIC_0068807,train
ISIC_0067154,train
ISIC_0013249_downsampled,train
ISIC_0055501,train
ISIC_0025616,train
ISIC_0033152,train
ISIC_0057419,train
ISIC_0014975_downsampled,train
ISIC_0058350,train
ISIC_0058049,train
ISIC_0027524,train
ISIC_0027179,train
ISIC_0024995,train
ISIC_0062869,train
ISIC_0058324,train
ISIC_0013159_downsampled,train
ISIC_0029419,train
ISIC_0066963,train
ISIC_0034264,train
ISIC_0054758,train
ISIC_0025918,train
ISIC_0053611,train
ISIC_0054191,train
ISIC_0031106,train
ISIC_0072966,train
ISIC_0072871,train
ISIC_0030863,train
ISIC_0058999,train
ISIC_0055201,train
ISIC_0028242,train
ISIC_0055013,train
ISIC_0070798,train
ISIC_0067279,train
ISIC_0024367,train
ISIC_0032032,train
ISIC_0031652,train
ISIC_0031051,train
ISIC_0027594,train
ISIC_0030075,train
ISIC_0026438,train
ISIC_0026397,train
ISIC_0062571,train
ISIC_0028733,train
ISIC_0024721,train
ISIC_0033620,train
ISIC_0026131,train
ISIC_0028602,train
ISIC_0068368,train
ISIC_0065675,train
ISIC_0025422,train
ISIC_0063004,train
ISIC_0064778,train
ISIC_0061975,train
ISIC_0000057_downsampled,train
ISIC_0032547,train
ISIC_0028474,train
ISIC_0058920,train
ISIC_0071877,train
ISIC_0056282,train
ISIC_0067735,train
ISIC_0026724,train
ISIC_0030194,train
ISIC_0031799,train
ISIC_0030173,train
ISIC_0010180,train
ISIC_0028731,train
ISIC_0065070,train
ISIC_0010475,train
ISIC_0015026_downsampled,train
ISIC_0068325,train
ISIC_0014784_downsampled,train
ISIC_0073010,train
ISIC_0069967,train
ISIC_0057440,train
ISIC_0009899,train
ISIC_0063361,train
ISIC_0061891,train
ISIC_0071598,train
ISIC_0025677,train
ISIC_0028824,train
ISIC_0064222,train
ISIC_0058942,train
ISIC_0013977_downsampled,train
ISIC_0027889,train
ISIC_0029535,train
ISIC_0069511,train
ISIC_0069422,train
ISIC_0014573_downsampled,train
ISIC_0061040,train
ISIC_0055546,train
ISIC_0053928,train
ISIC_0025738,train
ISIC_0063792,train
ISIC_0028194,train
ISIC_0058359,train
ISIC_0061589,train
ISIC_0029857,train
ISIC_0029506,train
ISIC_0058459,train
ISIC_0061998,train
ISIC_0012670_downsampled,train
ISIC_0029601,train
ISIC_0025084,train
ISIC_0013172_downsampled,train
ISIC_0068910,train
ISIC_0028854,train
ISIC_0053657,train
ISIC_0061054,train
ISIC_0055535,train
ISIC_0069862,train
ISIC_0067670,train
ISIC_0072698,train
ISIC_0027328,train
ISIC_0070967,train
ISIC_0065990,train
ISIC_0059346,train
ISIC_0069544,train
ISIC_0011118,train
ISIC_0027568,train
ISIC_0067750,train
ISIC_0071073,train
ISIC_0057063,train
ISIC_0030667,train
ISIC_0065532,train
ISIC_0070079,train
ISIC_0013772_downsampled,train
ISIC_0031008,train
ISIC_0066089,train
ISIC_0054846,train
ISIC_0000539,train
ISIC_0060378,train
ISIC_0014994_downsampled,train
ISIC_0032359,train
ISIC_0031817,train
ISIC_0015030_downsampled,train
ISIC_0060225,train
ISIC_0064018,train
ISIC_0029305,train
ISIC_0029467,train
ISIC_0031363,train
ISIC_0026269,train
ISIC_0028402,train
ISIC_0012332_downsampled,train
ISIC_0024338,train
ISIC_0064976,train
ISIC_0026520,train
ISIC_0059216,train
ISIC_0062891,train
ISIC_0028291,train
ISIC_0016061_downsampled,train
ISIC_0058482,train
ISIC_0053881,train
ISIC_0072662,train
ISIC_0066129,train
ISIC_0069142,train
ISIC_0033096,train
ISIC_0028143,train
ISIC_0032118,train
ISIC_0070390,train
ISIC_0014001_downsampled,train
ISIC_0057552,train
ISIC_0060955,train
ISIC_0033574,train
ISIC_0066127,train
ISIC_0030769,train
ISIC_0066321,train
ISIC_0029741,train
ISIC_0058120,train
ISIC_0071388,train
ISIC_0059917,train
ISIC_0071794,train
ISIC_0059967,train
ISIC_0031009,train
ISIC_0063674,train
ISIC_0057280,train
ISIC_0053457,train
ISIC_0066834,train
ISIC_0028293,train
ISIC_0064357,train
ISIC_0056047,train
ISIC_0064396,train
ISIC_0025060,train
ISIC_0060499,train
ISIC_0027069,train
ISIC_0031169,train
ISIC_0058950,train
ISIC_0031307,train
ISIC_0030844,train
ISIC_0001126_downsampled,train
ISIC_0030879,train
ISIC_0026190,train
ISIC_0031185,train
ISIC_0069638,train
ISIC_0057825,train
ISIC_0031541,train
ISIC_0072805,train
ISIC_0071771,train
ISIC_0012118_downsampled,train
ISIC_0064772,train
ISIC_0033400,train
ISIC_0056677,train
ISIC_0026650,train
ISIC_0064874,train
ISIC_0026427,train
ISIC_0072625,train
ISIC_0015256_downsampled,train
ISIC_0069304,train
ISIC_0064050,train
ISIC_0067957,train
ISIC_0010207,train
ISIC_0067692,train
ISIC_0057014,train
ISIC_0068613,train
ISIC_0062792,train
ISIC_0026343,train
ISIC_0029979,train
ISIC_0027173,train
ISIC_0060099,train
ISIC_0059748,train
ISIC_0060164,train
ISIC_0027106,train
ISIC_0056604,train
ISIC_0062943,train
ISIC_0054403,train
ISIC_0053582,train
ISIC_0032461,train
ISIC_0069939,train
ISIC_0060835,train
ISIC_0010317,train
ISIC_0069595,train
ISIC_0072251,train
ISIC_0067431,train
ISIC_0031246,train
ISIC_0030972,train
ISIC_0070210,train
ISIC_0016044_downsampled,train
ISIC_0066914,train
ISIC_0072552,train
ISIC_0026769,train
ISIC_0063804,train
ISIC_0028898,train
ISIC_0029346,train
ISIC_0013678_downsampled,train
ISIC_0057980,train
ISIC_0033982,train
ISIC_0030977,train
ISIC_0026710,train
ISIC_0060516,train
ISIC_0058425,train
ISIC_0030142,train
ISIC_0024485,train
ISIC_0013201_downsampled,train
ISIC_0029884,train
ISIC_0013580_downsampled,train
ISIC_0062686,train
ISIC_0059694,train
ISIC_0027057,train
ISIC_0062778,train
ISIC_0058663,train
ISIC_0032958,train
ISIC_0029337,train
ISIC_0056511,train
ISIC_0072771,train
ISIC_0029706,train
ISIC_0059648,train
ISIC_0059567,train
ISIC_0062463,train
ISIC_0061085,train
ISIC_0031025,train
ISIC_0029079,train
ISIC_0056522,train
ISIC_0028138,train
ISIC_0026302,train
ISIC_0072578,train
ISIC_0057923,train
ISIC_0028544,train
ISIC_0031249,train
ISIC_0071924,train
ISIC_0025303,train
ISIC_0067687,train
ISIC_0033675,train
ISIC_0026805,train
ISIC_0026170,train
ISIC_0060586,train
ISIC_0000535,train
ISIC_0071460,train
ISIC_0028248,train
ISIC_0028969,train
ISIC_0054197,train
ISIC_0013865_downsampled,train
ISIC_0067995,train
ISIC_0072141,train
ISIC_0028463,train
ISIC_0028425,train
ISIC_0028177,train
ISIC_0025411,train
ISIC_0016029_downsampled,train
ISIC_0029962,train
ISIC_0000322,train
ISIC_0057710,train
ISIC_0003805_downsampled,train
ISIC_0066819,train
ISIC_0057444,train
ISIC_0065076,train
ISIC_0000316,train
ISIC_0067486,train
ISIC_0033456,train
ISIC_0030186,train
ISIC_0060688,train
ISIC_0031951,train
ISIC_0015975_downsampled,train
ISIC_0024352,train
ISIC_0055186,train
ISIC_0058903,train
ISIC_0063141,train
ISIC_0033216,train
ISIC_0056916,train
ISIC_0054593,train
ISIC_0064869,train
ISIC_0016004_downsampled,train
ISIC_0009987,train
ISIC_0063666,train
ISIC_0066360,train
ISIC_0013891_downsampled,train
ISIC_0031823,train
ISIC_0061407,train
ISIC_0062147,train
ISIC_0061098,train
ISIC_0033770,train
ISIC_0067776,train
ISIC_0067612,train
ISIC_0013334_downsampled,train
ISIC_0073039,train
ISIC_0027956,train
ISIC_0012452_downsampled,train
ISIC_0031961,train
ISIC_0029771,train
ISIC_0068210,train
ISIC_0031517,train
ISIC_0031077,train
ISIC_0016035_downsampled,train
ISIC_0071868,train
ISIC_0061020,train
ISIC_0015243_downsampled,train
ISIC_0031303,train
ISIC_0030391,train
ISIC_0061540,train
ISIC_0059343,train
ISIC_0065668,train
ISIC_0024371,train
ISIC_0071239,train
ISIC_0013039_downsampled,train
ISIC_0028243,train
ISIC_0070787,train
ISIC_0025799,train
ISIC_0033756,train
ISIC_0053753,train
ISIC_0027450,train
ISIC_0032946,train
ISIC_0030372,train
ISIC_0056937,train
ISIC_0032395,train
ISIC_0057635,train
ISIC_0033985,train
ISIC_0068886,train
ISIC_0000216,train
ISIC_0057027,train
ISIC_0030143,train
ISIC_0028771,train
ISIC_0071681,train
ISIC_0031794,train
ISIC_0014963_downsampled,train
ISIC_0062334,train
ISIC_0030814,train
ISIC_0028660,train
ISIC_0009935,train
ISIC_0056730,train
ISIC_0055940,train
ISIC_0068675,train
ISIC_0053735,train
ISIC_0024324,train
ISIC_0029499,train
ISIC_0069352,train
ISIC_0059468,train
ISIC_0015217_downsampled,train
ISIC_0060986,train
ISIC_0026920,train
ISIC_0025243,train
ISIC_0032286,train
ISIC_0070513,train
ISIC_0029960,train
ISIC_0066046,train
ISIC_0033037,train
ISIC_0064523,train
ISIC_0028563,train
ISIC_0000447_downsampled,train
ISIC_0030365,train
ISIC_0063817,train
ISIC_0031646,train
ISIC_0060591,train
ISIC_0015276_downsampled,train
ISIC_0057183,train
ISIC_0057725,train
ISIC_0072129,train
ISIC_0059512,train
ISIC_0056843,train
ISIC_0054647,train
ISIC_0031255,train
ISIC_0070711,train
ISIC_0014136_downsampled,train
ISIC_0024571,train
ISIC_0003056_downsampled,train
ISIC_0054616,train
ISIC_0071216,train
ISIC_0010206,train
ISIC_0069555,train
ISIC_0000240,train
ISIC_0055388,train
ISIC_0057714,train
ISIC_0027523,train
ISIC_0033967,train
ISIC_0068302,train
ISIC_0014867_downsampled,train
ISIC_0071111,train
ISIC_0061873,train
ISIC_0029422,train
ISIC_0054621,train
ISIC_0068012,train
ISIC_0066108,train
ISIC_0061648,train
ISIC_0026479,train
ISIC_0064069,train
ISIC_0060626,train
ISIC_0067949,train
ISIC_0030243,train
ISIC_0010011,train
ISIC_0000370,train
ISIC_0065783,train
ISIC_0028081,train
ISIC_0026283,train
ISIC_0067014,train
ISIC_0054693,train
ISIC_0026693,train
ISIC_0028190,train
ISIC_0058807,train
ISIC_0015110_downsampled,train
ISIC_0015270_downsampled,train
ISIC_0032346,train
ISIC_0029257,train
ISIC_0033875,train
ISIC_0013311_downsampled,train
ISIC_0011157,train
ISIC_0071952,train
ISIC_0065342,train
ISIC_0069740,train
ISIC_0026079,train
ISIC_0057481,train
ISIC_0032564,train
ISIC_0015593_downsampled,train
ISIC_0029865,train
ISIC_0030800,train
ISIC_0027756,train
ISIC_0032430,train
ISIC_0011129,train
ISIC_0069969,train
ISIC_0027095,train
ISIC_0027925,train
ISIC_0027446,train
ISIC_0068554,train
ISIC_0056146,train
ISIC_0014983_downsampled,train
ISIC_0056548,train
ISIC_0068668,train
ISIC_0062208,train
ISIC_0064180,train
ISIC_0056790,train
ISIC_0025830,train
ISIC_0024824,train
ISIC_0062935,train
ISIC_0066653,train
ISIC_0070891,train
ISIC_0009956,train
ISIC_0067998,train
ISIC_0030389,train
ISIC_0026160,train
ISIC_0033468,train
ISIC_0072633,train
ISIC_0033669,train
ISIC_0028832,train
ISIC_0066586,train
ISIC_0032006,train
ISIC_0068050,train
ISIC_0025400,train
ISIC_0072546,train
ISIC_0016062_downsampled,train
ISIC_0015364_downsampled,train
ISIC_0070327,train
ISIC_0057101,train
ISIC_0031299,train
ISIC_0058712,train
ISIC_0025804,train
ISIC_0066314,train
ISIC_0062473,train
ISIC_0072322,train
ISIC_0026886,train
ISIC_0064385,train
ISIC_0013405_downsampled,train
ISIC_0000121_downsampled,train
ISIC_0058617,train
ISIC_0027581,train
ISIC_0029481,train
ISIC_0066585,train
ISIC_0067282,train
ISIC_0058380,train
ISIC_0013127_downsampled,train
ISIC_0061008,train
ISIC_0013795_downsampled,train
ISIC_0055836,train
ISIC_0029353,train
ISIC_0014090_downsampled,train
ISIC_0032107,train
ISIC_0072844,train
ISIC_0066051,train
ISIC_0027548,train
ISIC_0059112,train
ISIC_0072223,train
ISIC_0033401,train
ISIC_0026486,train
ISIC_0025728,train
ISIC_0054384,train
ISIC_0063160,train
ISIC_0059797,train
ISIC_0064495,train
ISIC_0069071,train
ISIC_0011121,train
ISIC_0067550,train
ISIC_0032689,train
ISIC_0010169,train
ISIC_0031916,train
ISIC_0058649,train
ISIC_0033287,train
ISIC_0064275,train
ISIC_0055982,train
ISIC_0068966,train
ISIC_0026108,train
ISIC_0054766,train
ISIC_0032131,train
ISIC_0064783,train
ISIC_0066009,train
ISIC_0027239,train
ISIC_0063851,train
ISIC_0003539_downsampled,train
ISIC_0068158,train
ISIC_0062404,train
ISIC_0012207_downsampled,train
ISIC_0014961_downsampled,train
ISIC_0056260,train
ISIC_0063375,train
ISIC_0031543,train
ISIC_0025017,train
ISIC_0024970,train
ISIC_0059131,train
ISIC_0054325,train
ISIC_0061388,train
ISIC_0053766,train
ISIC_0070208,train
ISIC_0054897,train
ISIC_0027641,train
ISIC_0071992,train
ISIC_0054870,train
ISIC_0033613,train
ISIC_0062087,train
ISIC_0070662,train
ISIC_0055112,train
ISIC_0055401,train
ISIC_0024620,train
ISIC_0068797,train
ISIC_0015941_downsampled,train
ISIC_0065687,train
ISIC_0069493,train
ISIC_0028039,train
ISIC_0071218,train
ISIC_0058594,train
ISIC_0054444,train
ISIC_0029359,train
ISIC_0071143,train
ISIC_0066193,train
ISIC_0061055,train
ISIC_0069992,train
ISIC_0028111,train
ISIC_0069648,train
ISIC_0060984,train
ISIC_0066922,train
ISIC_0068678,train
ISIC_0066458,train
ISIC_0028794,train
ISIC_0058686,train
ISIC_0058923,train
ISIC_0065430,train
ISIC_0015419_downsampled,train
ISIC_0028871,train
ISIC_0031947,train
ISIC_0056403,train
ISIC_0028657,train
ISIC_0031476,train
ISIC_0067876,train
ISIC_0000551,train
ISIC_0015279_downsampled,train
ISIC_0028287,train
ISIC_0025346,train
ISIC_0010339,train
ISIC_0033342,train
ISIC_0011341,train
ISIC_0028989,train
ISIC_0031721,train
ISIC_0027635,train
ISIC_0028970,train
ISIC_0031617,train
ISIC_0027215,train
ISIC_0032391,train
ISIC_0063030,train
ISIC_0013173_downsampled,train
ISIC_0024779,train
ISIC_0066312,train
ISIC_0065807,train
ISIC_0057638,train
ISIC_0059301,train
ISIC_0063715,train
ISIC_0062374,train
ISIC_0024615,train
ISIC_0056235,train
ISIC_0054626,train
ISIC_0062801,train
ISIC_0061014,train
ISIC_0067425,train
ISIC_0033121,train
ISIC_0057111,train
ISIC_0057396,train
ISIC_0068072,train
ISIC_0059055,train
ISIC_0056112,train
ISIC_0056906,train
ISIC_0014357_downsampled,train
ISIC_0070284,train
ISIC_0030492,train
ISIC_0060264,train
ISIC_0033603,train
ISIC_0026220,train
ISIC_0058954,train
ISIC_0061293,train
ISIC_0026378,train
ISIC_0031458,train
ISIC_0070786,train
ISIC_0025166,train
ISIC_0026111,train
ISIC_0055590,train
ISIC_0015559_downsampled,train
ISIC_0000018_downsampled,train
ISIC_0026241,train
ISIC_0073196,train
ISIC_0026083,train
ISIC_0060951,train
ISIC_0031281,train
ISIC_0025607,train
ISIC_0067032,train
ISIC_0065090,train
ISIC_0002489_downsampled,train
ISIC_0032823,train
ISIC_0028700,train
ISIC_0033188,train
ISIC_0059654,train
ISIC_0026571,train
ISIC_0054748,train
ISIC_0031470,train
ISIC_0032014,train
ISIC_0001100_downsampled,train
ISIC_0069264,train
ISIC_0015005_downsampled,train
ISIC_0026983,train
ISIC_0026090,train
ISIC_0071418,train
ISIC_0069981,train
ISIC_0034198,train
ISIC_0014876_downsampled,train
ISIC_0032482,train
ISIC_0056257,train
ISIC_0030971,train
ISIC_0057964,train
ISIC_0064322,train
ISIC_0031029,train
ISIC_0054981,train
ISIC_0012495_downsampled,train
ISIC_0025816,train
ISIC_0062495,train
ISIC_0068390,train
ISIC_0012810_downsampled,train
ISIC_0069854,train
ISIC_0060719,train
ISIC_0062221,train
ISIC_0015157_downsampled,train
ISIC_0056497,train
ISIC_0032018,train
ISIC_0058882,train
ISIC_0033848,train
ISIC_0027208,train
ISIC_0069566,train
ISIC_0029500,train
ISIC_0031936,train
ISIC_0060645,train
ISIC_0013333_downsampled,train
ISIC_0066835,train
ISIC_0056769,train
ISIC_0061607,train
ISIC_0054912,train
ISIC_0071682,train
ISIC_0060713,train
ISIC_0033774,train
ISIC_0028056,train
ISIC_0059049,train
ISIC_0032485,train
ISIC_0025808,train
ISIC_0015046_downsampled,train
ISIC_0066325,train
ISIC_0067180,train
ISIC_0063905,train
ISIC_0028585,train
ISIC_0067061,train
ISIC_0067138,train
ISIC_0071471,train
ISIC_0015146_downsampled,train
ISIC_0025823,train
ISIC_0057596,train
ISIC_0013244_downsampled,train
ISIC_0055098,train
ISIC_0070447,train
ISIC_0024431,train
ISIC_0030260,train
ISIC_0024905,train
ISIC_0028597,train
ISIC_0034209,train
ISIC_0058194,train
ISIC_0014186_downsampled,train
ISIC_0054931,train
ISIC_0071117,train
ISIC_0066807,train
ISIC_0030477,train
ISIC_0069192,train
ISIC_0056370,train
ISIC_0069339,train
ISIC_0000209,train
ISIC_0027954,train
ISIC_0055222,train
ISIC_0063951,train
ISIC_0067076,train
ISIC_0061946,train
ISIC_0029255,train
ISIC_0027843,train
ISIC_0028497,train
ISIC_0062964,train
ISIC_0071508,train
ISIC_0072986,train
ISIC_0058465,train
ISIC_0014622_downsampled,train
ISIC_0033877,train
ISIC_0071893,train
ISIC_0015226_downsampled,train
ISIC_0033923,train
ISIC_0026948,train
ISIC_0016060_downsampled,train
ISIC_0071641,train
ISIC_0030921,train
ISIC_0014434_downsampled,train
ISIC_0028224,train
ISIC_0056887,train
ISIC_0029338,train
ISIC_0032713,train
ISIC_0064478,train
ISIC_0068724,train
ISIC_0029879,train
ISIC_0065863,train
ISIC_0026828,train
ISIC_0013082_downsampled,train
ISIC_0059772,train
ISIC_0027765,train
ISIC_0053774,train
ISIC_0027388,train
ISIC_0028397,train
ISIC_0063418,train
ISIC_0028227,train
ISIC_0012521_downsampled,train
ISIC_0070061,train
ISIC_0070047,train
ISIC_0027852,train
ISIC_0012493_downsampled,train
ISIC_0055368,train
ISIC_0027577,train
ISIC_0030826,train
ISIC_0033048,train
ISIC_0027318,train
ISIC_0072335,train
ISIC_0067198,train
ISIC_0028311,train
ISIC_0030750,train
ISIC_0071537,train
ISIC_0056584,train
ISIC_0000206_downsampled,train
ISIC_0029282,train
ISIC_0071449,train
ISIC_0024608,train
ISIC_0015999_downsampled,train
ISIC_0054685,train
ISIC_0028573,train
ISIC_0061330,train
ISIC_0012227_downsampled,train
ISIC_0002438_downsampled,train
ISIC_0067160,train
ISIC_0014592_downsampled,train
ISIC_0071459,train
ISIC_0024763,train
ISIC_0064985,train
ISIC_0024994,train
ISIC_0066520,train
ISIC_0027998,train
ISIC_0060667,train
ISIC_0030415,train
ISIC_0069623,train
ISIC_0069440,train
ISIC_0069800,train
ISIC_0059536,train
ISIC_0032723,train
ISIC_0031996,train
ISIC_0062389,train
ISIC_0000063_downsampled,train
ISIC_0053497,train
ISIC_0056600,train
ISIC_0064501,train
ISIC_0025843,train
ISIC_0070224,train
ISIC_0028857,train
ISIC_0057627,train
ISIC_0056560,train
ISIC_0065821,train
ISIC_0066773,train
ISIC_0024877,train
ISIC_0055464,train
ISIC_0034039,train
ISIC_0059619,train
ISIC_0057859,train
ISIC_0062244,train
ISIC_0015180_downsampled,train
ISIC_0015958_downsampled,train
ISIC_0025455,train
ISIC_0070386,train
ISIC_0073113,train
ISIC_0030952,train
ISIC_0069305,train
ISIC_0030240,train
ISIC_0027790,train
ISIC_0032830,train
ISIC_0031874,train
ISIC_0060558,train
ISIC_0067277,train
ISIC_0071331,train
ISIC_0030265,train
ISIC_0009928,train
ISIC_0059717,train
ISIC_0029872,train
ISIC_0027574,train
ISIC_0025514,train
ISIC_0054407,train
ISIC_0066530,train
ISIC_0068548,train
ISIC_0024817,train
ISIC_0006021_downsampled,train
ISIC_0031287,train
ISIC_0060381,train
ISIC_0068669,train
ISIC_0027631,train
ISIC_0069905,train
ISIC_0033441,train
ISIC_0030378,train
ISIC_0064534,train
ISIC_0071072,train
ISIC_0054435,train
ISIC_0058058,train
ISIC_0000882_downsampled,train
ISIC_0025774,train
ISIC_0028273,train
ISIC_0065245,train
ISIC_0028092,train
ISIC_0030178,train
ISIC_0055708,train
ISIC_0059984,train
ISIC_0025140,train
ISIC_0029179,train
ISIC_0033281,train
ISIC_0066487,train
ISIC_0063039,train
ISIC_0027888,train
ISIC_0053558,train
ISIC_0009961,train
ISIC_0026152,train
ISIC_0033998,train
ISIC_0013766_downsampled,train
ISIC_0029461,train
ISIC_0033130,train
ISIC_0025286,train
ISIC_0029020,train
ISIC_0030603,train
ISIC_0059322,train
ISIC_0032725,train
ISIC_0032422,train
ISIC_0029565,train
ISIC_0025679,train
ISIC_0029698,train
ISIC_0031746,train
ISIC_0029562,train
ISIC_0063271,train
ISIC_0033301,train
ISIC_0066679,train
ISIC_0061963,train
ISIC_0055718,train
ISIC_0025072,train
ISIC_0026020,train
ISIC_0026015,train
ISIC_0066107,train
ISIC_0030822,train
ISIC_0060976,train
ISIC_0063326,train
ISIC_0033860,train
ISIC_0033265,train
ISIC_0062851,train
ISIC_0067506,train
ISIC_0014179_downsampled,train
ISIC_0027848,train
ISIC_0064932,train
ISIC_0056732,train
ISIC_0030309,train
ISIC_0028261,train
ISIC_0064149,train
ISIC_0014032_downsampled,train
ISIC_0014707_downsampled,train
ISIC_0064467,train
ISIC_0029201,train
ISIC_0028605,train
ISIC_0054925,train
ISIC_0024440,train
ISIC_0026477,train
ISIC_0027265,train
ISIC_0029668,train
ISIC_0064753,train
ISIC_0057604,train
ISIC_0066566,train
ISIC_0070415,train
ISIC_0032700,train
ISIC_0067676,train
ISIC_0024675,train
ISIC_0029827,train
ISIC_0034201,train
ISIC_0065764,train
ISIC_0000145_downsampled,train
ISIC_0028334,train
ISIC_0073248,train
ISIC_0029365,train
ISIC_0030037,train
ISIC_0055897,train
ISIC_0067730,train
ISIC_0066439,train
ISIC_0028617,train
ISIC_0025441,train
ISIC_0058395,train
ISIC_0030680,train
ISIC_0028696,train
ISIC_0053885,train
ISIC_0063518,train
ISIC_0027142,train
ISIC_0071523,train
ISIC_0058743,train
ISIC_0015109_downsampled,train
ISIC_0032791,train
ISIC_0012160_downsampled,train
ISIC_0027943,train
ISIC_0057361,train
ISIC_0066587,train
ISIC_0061134,train
ISIC_0026022,train
ISIC_0027360,train
ISIC_0057892,train
ISIC_0028568,train
ISIC_0058904,train
ISIC_0073223,train
ISIC_0026322,train
ISIC_0061739,train
ISIC_0072657,train
ISIC_0065239,train
ISIC_0025724,train
ISIC_0069377,train
ISIC_0031783,train
ISIC_0055689,train
ISIC_0071421,train
ISIC_0012898_downsampled,train
ISIC_0061548,train
ISIC_0028207,train
ISIC_0072939,train
ISIC_0013364_downsampled,train
ISIC_0033114,train
ISIC_0030967,train
ISIC_0071594,train
ISIC_0026532,train
ISIC_0031067,train
ISIC_0031474,train
ISIC_0026428,train
ISIC_0029105,train
ISIC_0066719,train
ISIC_0024811,train
ISIC_0026981,train
ISIC_0060255,train
ISIC_0069875,train
ISIC_0065947,train
ISIC_0029173,train
ISIC_0053861,train
ISIC_0027759,train
ISIC_0029470,train
ISIC_0030891,train
